,Type Of Dwelling,General Zone Classification,Linear Feet of Street,Plot size in square feet,Type of road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to various conditions,Overall Rating(Material & Finishing),Rating Overall Condition of house,Original construction date,Remodel date of property,Type of Roof,Material used in Roof,Exterior Covering on the House,Evaluation of Quality of material on Exterior,Evaluation present condition of material on Exterior,Type of Foundation,Evaluation of hight of basement,Evaluation of condition of Basement,Exposure Walkout or garden-level walls,Basement Finished area rating,Finished square feet area in basement,"Basement Finished area rating,if multiple types","Finished square feet area in basement,type 2",Unfinished Basement area in square feet,Total Basement area in square feet,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical System,Area of 1st Floor in Square Feet,Area of 2nd Floor in Square Feet,Total living area in square feet,Full Bathrooms,Half Bathrooms,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(Excluded Bathrooms),Number of Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Car Parking capacity in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Fence Quality,Miscellaneous features,Value of miscellaneous feature in Dollars,Month and Year of sold,Type of Sale,Condition of Sale,Sale Price,Price per square foot of property(in $),Age of Property when sold(in years)
1242,SPLIT FOYER,Residential Low-Density,85,10625,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northwest Ames,Normal,Good,Above Average,1974,1974,Gable,Standard (Composite) Shingle,Plywood,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,885,Low Quality,168,0,1053,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1173,0,1173,2,0,3,1,Good,6,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1974,Rough Finished,2,528,Typical/Average,Typical/Average,Paved,0,120,0,0,0,Minimum Privacy,No Extra Feature,0,January 2010,Warranty Deed - Conventional,Sale between family members,170000,16.0,36
1243,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,107,13891,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Very Excellent,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Excellent,Average/Typical,Poured Contrete,Good (90-99 inches),Good,Good Exposure,Good Living Quarters,1386,Unfinished,0,690,2076,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2076,0,2076,2,1,2,1,Excellent,7,1,Good - Masonry Fireplace on the main level,Attached to the home,2006,Finished,3,850,Typical/Average,Typical/Average,Paved,216,229,0,0,0,No Fence,No Extra Feature,0,September 2006,Home just constructed and sold,Home was not completed when last assessed,465000,33.47491181340436,0
1244,2-STORY 1945 & OLDER,Residential Low-Density,0,11435,Paved,No Alley Access,Slightly Irregular,Hillside,All Public Utilities,Corner Plot,Moderate Slope,Crawford,Normal,Very Good,Good,1929,1950,Gable,Standard (Composite) Shingle,Brick Face & Stucco,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,792,792,Gas forced warm air furnace,Fair,Yes,Standard Circuit Breakers & Romex,792,725,1517,1,0,3,1,Good,7,2,Good - Masonry Fireplace on the main level,Detached from home,1931,Unfinished,2,400,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,June 2006,Warranty Deed - Conventional,Normal Sale,230000,20.113686051595977,77
1245,SPLIT OR MULTI-LEVEL,Residential Low-Density,78,12090,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northwest Ames,Normal,Above Average,Good,1984,2003,Hip,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,585,585,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1140,728,1868,3,1,3,1,Average/Typical,7,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),1984,Finished,2,477,Typical/Average,Typical/Average,Paved,268,112,0,0,147,No Fence,No Extra Feature,0,January 2007,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",178000,14.722911497105045,23
1246,2-STORY 1946 & NEWER,Floating Village Residential,65,8125,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,Normal,Good,Average,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,756,756,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,756,797,1553,2,1,3,1,Good,6,0,No Fireplace,Attached to the home,2005,Rough Finished,2,615,Typical/Average,Typical/Average,Paved,0,45,0,0,0,No Fence,No Extra Feature,0,March 2006,Home just constructed and sold,Home was not completed when last assessed,186500,22.953846153846154,1
1247,SPLIT OR MULTI-LEVEL,Residential Low-Density,0,12328,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Mitchell,Normal,Above Average,Average,1976,1976,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,539,Unfinished,0,473,1012,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1034,0,1034,1,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1976,Unfinished,3,888,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,May 2010,Warranty Deed - Conventional,Normal Sale,169900,13.78163530175211,34
1248,2-1/2 STORY ALL AGES,Residential Medium Density,60,9600,Paved,Gravel,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,Normal,Above Average,Average,1917,1950,Gable,Standard (Composite) Shingle,Asbestos Shingles,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,319,Unfinished,0,416,735,Hot water or steam heat other than gas,Fair,No,Standard Circuit Breakers & Romex,1134,924,2058,1,1,3,1,Average/Typical,8,1,Good - Masonry Fireplace on the main level,Detached from home,1950,Unfinished,2,396,Fair,Fair,Partial Pavement,0,0,259,0,0,No Fence,No Extra Feature,0,April 2008,Warranty Deed - Conventional,Normal Sale,129500,13.489583333333334,91
1249,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,7200,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Good,1950,1950,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,534,Average Rec Room,96,246,876,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,988,0,988,1,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1950,Unfinished,1,276,Typical/Average,Typical/Average,Paved,0,80,0,0,0,No Fence,No Extra Feature,0,May 2007,Warranty Deed - Conventional,Normal Sale,119000,16.52777777777778,57
1250,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,93,11160,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,Normal,Good,Average,1968,1968,Hip,Standard (Composite) Shingle,Brick Face,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,1065,Unfinished,0,1045,2110,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2110,0,2110,2,1,3,1,Excellent,8,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1968,Finished,2,522,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,April 2010,Warranty Deed - Conventional,Normal Sale,244000,21.863799283154123,42
1251,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,0,3136,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northridge Heights,Normal,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding & Wood Shingles,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1405,1405,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1405,0,1405,2,0,2,1,Good,6,1,Good - Masonry Fireplace on the main level,Attached to the home,2003,Rough Finished,2,478,Typical/Average,Typical/Average,Paved,148,36,0,0,0,No Fence,No Extra Feature,0,March 2006,Warranty Deed - Conventional,Normal Sale,171750,54.767219387755105,3
1252,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,62,9858,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Mitchell,Normal,Average,Above Average,1968,1968,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,510,Unfinished,0,354,864,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,874,0,874,1,0,3,1,Average/Typical,5,0,No Fireplace,Attached to the home,1968,Rough Finished,1,288,Typical/Average,Typical/Average,Paved,33,0,0,0,0,Good Wood,Shed (over 100 Square Feet),600,November 2009,Warranty Deed - Conventional,Normal Sale,130000,13.187259078920674,41
1253,2-STORY 1946 & NEWER,Residential Low-Density,0,17542,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Veenker,Normal,Good,Good,1974,2003,Gable,Standard (Composite) Shingle,Wood Siding,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Low Quality,125,Average Living Quarters,1031,36,1192,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1516,651,2167,2,1,3,1,Good,9,2,Good - Masonry Fireplace on the main level,Attached to the home,1974,Rough Finished,2,518,Typical/Average,Typical/Average,Paved,220,47,0,0,0,Minimum Privacy,No Extra Feature,0,July 2007,Warranty Deed - Conventional,Normal Sale,294000,16.75977653631285,33
1254,2-STORY 1946 & NEWER,Residential Low-Density,60,6931,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Edwards,Normal,Good,Average,2003,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,746,746,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,760,896,1656,2,1,3,1,Good,7,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2003,Finished,2,397,Typical/Average,Typical/Average,Paved,178,128,0,0,0,No Fence,No Extra Feature,0,July 2008,Warranty Deed - Conventional,Normal Sale,165400,23.863800317414515,5
1255,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,52,6240,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Brookside,Normal,Above Average,Above Average,1931,1950,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Brick & Tile,Fair (70-79 inches),Fair - dampness or some cracking or settling,No Exposure,Low Quality,425,Unfinished,0,459,884,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),959,408,1367,1,0,3,1,Average/Typical,6,1,Good - Masonry Fireplace on the main level,Detached from home,1978,Unfinished,1,560,Typical/Average,Typical/Average,Paved,0,0,0,0,120,No Fence,No Extra Feature,0,November 2007,Warranty Deed - Conventional,Normal Sale,127500,20.432692307692307,76
1256,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,91,14303,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northridge,Normal,Very Good,Average,1994,1994,Hip,Standard (Composite) Shingle,Hard Board,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,1314,Unfinished,0,672,1986,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1987,0,1987,2,0,2,1,Good,7,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1994,Finished,2,691,Typical/Average,Typical/Average,Paved,262,36,0,0,0,No Fence,No Extra Feature,0,August 2008,Warranty Deed - Conventional,Normal Sale,301500,21.07949381248689,14
1258,SPLIT OR MULTI-LEVEL,Residential Low-Density,59,9587,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,Normal,Good,Average,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,655,Unfinished,0,201,856,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1166,0,1166,2,0,2,1,Good,5,0,No Fireplace,Attached to the home,2005,Finished,2,400,Typical/Average,Typical/Average,Paved,212,0,0,0,0,No Fence,No Extra Feature,0,July 2008,Warranty Deed - Conventional,Normal Sale,190000,19.818504224470637,3
1259,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,65,9750,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,North Ames,Normal,Above Average,Very Good,1969,1969,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,602,Low Quality,438,14,1054,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1054,0,1054,1,1,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1969,Unfinished,2,460,Typical/Average,Typical/Average,Paved,180,0,0,0,80,No Fence,No Extra Feature,0,July 2008,Warranty Deed - Conventional,Normal Sale,151000,15.487179487179487,39
1260,2-STORY 1946 & NEWER,Residential Low-Density,0,24682,Paved,No Alley Access,Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,Gilbert,Adjacent to North-South Railroad & Normal,Above Average,Average,1999,1999,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,841,841,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,892,783,1675,2,1,3,1,Average/Typical,7,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),1999,Finished,2,502,Typical/Average,Typical/Average,Paved,0,103,0,0,0,No Fence,No Extra Feature,0,June 2009,Warranty Deed - Conventional,Normal Sale,181000,7.333279312859574,10
1261,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,9600,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Above Average,1956,1956,Hip,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,504,Unfinished,0,546,1050,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1050,0,1050,1,0,2,1,Average/Typical,5,0,No Fireplace,Attached to the home,1956,Unfinished,1,338,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,June 2009,Warranty Deed - Conventional,Normal Sale,128900,13.427083333333334,53
1262,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,0,11250,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Clear Creek,Normal,Below Average,Average,1957,1989,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Unfinished,0,Unfinished,0,1104,1104,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1104,684,1788,1,0,5,1,Average/Typical,8,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1957,Unfinished,1,304,Typical/Average,Typical/Average,Paved,120,0,0,0,0,No Fence,No Extra Feature,0,November 2009,Warranty Deed - Conventional,Normal Sale,161500,14.355555555555556,52
1263,2-STORY 1945 & OLDER,Residential Low-Density,60,13515,Paved,Paved,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Brookside,Normal,Above Average,Above Average,1919,1950,Gabrel (Barn),Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,764,764,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1060,764,1824,1,0,3,1,Average/Typical,8,1,Good - Masonry Fireplace on the main level,Detached from home,1940,Unfinished,2,520,Typical/Average,Typical/Average,Dirt/Gravel,0,0,126,0,0,Good Privacy,No Extra Feature,0,July 2007,Warranty Deed - Conventional,Normal Sale,180500,13.355530891601925,88
1264,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential High-Density,34,4060,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Above Average,Average,1998,1999,Gable,Standard (Composite) Shingle,Metal Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,266,Unfinished,0,1139,1405,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1337,0,1337,2,0,2,1,Good,5,0,No Fireplace,Attached to the home,1998,Finished,2,511,Typical/Average,Typical/Average,Paved,144,68,0,0,0,No Fence,No Extra Feature,0,August 2008,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",181000,44.58128078817734,10
1265,2-STORY PUD - 1946 & NEWER,Floating Village Residential,35,3735,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Frontage on 3 sides of the property,Gentle Slope,Somerset,Normal,Good,Average,1999,1999,Hip,Standard (Composite) Shingle,Metal Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,450,Unfinished,0,241,691,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,713,739,1452,2,1,3,1,Good,6,0,No Fireplace,Detached from home,1999,Unfinished,2,506,Typical/Average,Typical/Average,Paved,0,34,0,0,0,No Fence,No Extra Feature,0,March 2006,Warranty Deed - Conventional,Normal Sale,183900,49.23694779116466,7
1266,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Medium Density,60,10120,Paved,No Alley Access,Slightly Irregular,Banked,All Public Utilities,Inside Plot,Gentle Slope,Old Town,Adjacent to feeder street & Normal,Good,Below Average,1910,1950,Hip,Standard (Composite) Shingle,Wood Siding,Fair,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,925,925,Gas forced warm air furnace,Average/Typical,No,60 AMP Fuse Box and mostly Romex wiring (Fair),964,925,1889,1,1,4,2,Average/Typical,9,1,Good - Masonry Fireplace on the main level,Detached from home,1960,Unfinished,1,308,Typical/Average,Typical/Average,Dirt/Gravel,0,0,264,0,0,Minimum Privacy,No Extra Feature,0,January 2007,Warranty Deed - Conventional,Normal Sale,122000,12.055335968379447,97
